product_name,series,price,rating,reviews_count,stock,daily_sales,date
iPhone 15 Pro,15,12500.0,3.8,63,7,15,2025-01-03
iPhone 15 Pro Max,15,14000.0,4.2,351,27,20,2025-01-03
iPhone 16,16,11000.0,3.3,164,46,21,2025-01-03
iPhone 16 Pro,16,14000.0,4.4,308,43,22,2025-01-03
iPhone 16 Pro Max,16,16000.0,3.6,256,30,21,2025-01-03
iPhone 17,17,12000.0,4.8,400,40,21,2025-01-03
iPhone 17 Pro,17,15500.0,4.6,330,12,24,2025-01-03
iPhone 17 Pro Max,17,18000.0,4.8,480,19,23,2025-01-03
iPhone X,X,5000.0,3.8,331,36,17,2025-01-04
iPhone XS,X,5200.0,3.9,72,26,20,2025-01-04
iPhone XS Max,X,5500.0,4.2,351,46,17,2025-01-04
iPhone 11,11,6000.0,3.3,490,12,25,2025-01-04
iPhone 11 Pro,11,7000.0,4.5,117,9,26,2025-01-04
iPhone 11 Pro Max,11,8000.0,3.4,359,39,19,2025-01-04
iPhone 12,12,7000.0,4.3,317,20,20,2025-01-04
iPhone 12 mini,12,6800.0,3.6,154,23,22,2025-01-04
iPhone 12 Pro,12,8500.0,3.9,448,30,22,2025-01-04
iPhone 12 Pro Max,12,9000.0,3.8,67,5,24,2025-01-04
iPhone 13,13,8000.0,3.9,105,29,13,2025-01-04
iPhone 13 mini,13,7800.0,4.9,496,9,24,2025-01-04
iPhone 13 Pro,13,9500.0,4.2,256,7,16,2025-01-04
iPhone 13 Pro Max,13,10000.0,4.5,194,33,13,2025-01-04
iPhone 14,14,9000.0,3.2,78,34,22,2025-01-04
iPhone 14 Plus,14,9200.0,3.9,227,30,23,2025-01-04
iPhone 14 Pro,14,11000.0,4.0,48,40,18,2025-01-04
iPhone 14 Pro Max,14,12000.0,3.8,19,9,13,2025-01-04
iPhone 15,15,10000.0,4.8,189,35,35,2025-01-04
iPhone 15 Plus,15,10200.0,4.4,25,28,20,2025-01-04
iPhone 15 Pro,15,12500.0,4.9,267,32,23,2025-01-04
iPhone 15 Pro Max,15,14000.0,4.2,187,39,20,2025-01-04
iPhone 16,16,11000.0,4.3,426,47,19,2025-01-04
iPhone 16 Pro,16,14000.0,4.9,339,47,22,2025-01-04
iPhone 16 Pro Max,16,16000.0,3.4,406,16,21,2025-01-04
iPhone 17,17,12000.0,3.1,273,33,16,2025-01-04
iPhone 17 Pro,17,15500.0,4.7,99,38,19,2025-01-04
iPhone 17 Pro Max,17,18000.0,4.4,123,49,11,2025-01-04
iPhone X,X,5000.0,4.9,385,40,22,2025-01-05
iPhone XS,X,5200.0,4.1,366,13,19,2025-01-05
iPhone XS Max,X,5500.0,4.1,236,39,11,2025-01-05
iPhone 11,11,6000.0,4.6,161,27,13,2025-01-05
iPhone 11 Pro,11,7000.0,4.9,46,16,27,2025-01-05
iPhone 11 Pro Max,11,8000.0,4.5,370,34,17,2025-01-05
iPhone 12,12,7000.0,4.8,71,24,17,2025-01-05
iPhone 12 mini,12,6800.0,4.8,186,40,24,2025-01-05
iPhone 12 Pro,12,8500.0,3.0,242,23,18,2025-01-05
iPhone 12 Pro Max,12,9000.0,4.9,393,23,16,2025-01-05
iPhone 13,13,8000.0,4.0,153,9,14,2025-01-05
iPhone 13 mini,13,7800.0,4.3,493,27,13,2025-01-05
iPhone 13 Pro,13,9500.0,4.6,48,49,21,2025-01-05
iPhone 13 Pro Max,13,10000.0,4.4,248,16,28,2025-01-05
iPhone 14,14,9000.0,4.4,451,48,20,2025-01-05
iPhone 14 Plus,14,9200.0,3.9,177,46,20,2025-01-05
iPhone 14 Pro,14,11000.0,3.8,292,6,25,2025-01-05
iPhone 14 Pro Max,14,12000.0,4.9,226,49,17,2025-01-05
iPhone 15,15,10000.0,4.5,79,35,8,2025-01-05
iPhone 15 Plus,15,10200.0,4.4,211,30,18,2025-01-05
iPhone 15 Pro,15,12500.0,3.7,135,7,17,2025-01-05
iPhone 15 Pro Max,15,14000.0,4.1,157,32,12,2025-01-05
iPhone 16,16,11000.0,4.5,392,45,24,2025-01-05
iPhone 16 Pro,16,14000.0,3.5,200,29,25,2025-01-05
iPhone 16 Pro Max,16,16000.0,4.7,431,10,10,2025-01-05
iPhone 17,17,12000.0,3.1,222,15,22,2025-01-05
iPhone 17 Pro,17,15500.0,4.8,173,39,17,2025-01-05
iPhone 17 Pro Max,17,18000.0,3.3,314,18,21,2025-01-05
iPhone X,X,5000.0,3.6,10,7,19,2025-01-06
iPhone XS,X,5200.0,4.2,17,32,24,2025-01-06
iPhone XS Max,X,5500.0,4.3,145,32,10,2025-01-06
iPhone 11,11,6000.0,4.6,229,33,21,2025-01-06
iPhone 11 Pro,11,7000.0,3.3,44,10,13,2025-01-06
iPhone 11 Pro Max,11,8000.0,4.9,251,49,29,2025-01-06
iPhone 12,12,7000.0,3.3,298,5,21,2025-01-06
iPhone 12 mini,12,6800.0,3.8,291,29,19,2025-01-06
iPhone 12 Pro,12,8500.0,4.9,292,17,21,2025-01-06
iPhone 12 Pro Max,12,9000.0,4.1,142,42,17,2025-01-06
iPhone 13,13,8000.0,4.8,32,41,24,2025-01-06
iPhone 13 mini,13,7800.0,3.8,94,18,24,2025-01-06
iPhone 13 Pro,13,9500.0,3.4,10,49,13,2025-01-06
iPhone 13 Pro Max,13,10000.0,4.3,297,38,22,2025-01-06
iPhone 14,14,9000.0,3.7,81,43,21,2025-01-06
iPhone 14 Plus,14,9200.0,4.5,388,16,30,2025-01-06
iPhone 14 Pro,14,11000.0,4.6,245,9,17,2025-01-06
iPhone 14 Pro Max,14,12000.0,3.8,238,25,32,2025-01-06
iPhone 15,15,10000.0,4.3,84,43,25,2025-01-06
iPhone 15 Plus,15,10200.0,3.8,356,38,11,2025-01-06
iPhone 15 Pro,15,12500.0,3.7,175,37,17,2025-01-06
iPhone 15 Pro Max,15,14000.0,4.2,60,21,26,2025-01-06
iPhone 16,16,11000.0,4.9,397,14,19,2025-01-06
iPhone 16 Pro,16,14000.0,3.5,481,9,23,2025-01-06
iPhone 16 Pro Max,16,16000.0,5.0,62,6,25,2025-01-06
iPhone 17,17,12000.0,3.5,380,27,12,2025-01-06
iPhone 17 Pro,17,15500.0,3.3,104,15,21,2025-01-06
iPhone 17 Pro Max,17,18000.0,3.4,193,29,15,2025-01-06
iPhone X,X,5000.0,4.8,204,31,15,2025-01-07
iPhone XS,X,5200.0,3.4,412,25,22,2025-01-07
iPhone XS Max,X,5500.0,3.3,101,46,19,2025-01-07
iPhone 11,11,6000.0,3.4,43,18,14,2025-01-07
iPhone 11 Pro,11,7000.0,3.7,420,13,19,2025-01-07
iPhone 11 Pro Max,11,8000.0,4.4,65,34,15,2025-01-07
iPhone 12,12,7000.0,3.3,57,21,24,2025-01-07
iPhone 12 mini,12,6800.0,4.5,262,19,16,2025-01-07
iPhone 12 Pro,12,8500.0,4.1,65,26,23,2025-01-07
iPhone 12 Pro Max,12,9000.0,4.1,395,49,16,2025-01-07
iPhone 13,13,8000.0,3.1,196,11,24,2025-01-07
iPhone 13 mini,13,7800.0,4.5,283,42,22,2025-01-07
iPhone 13 Pro,13,9500.0,4.1,24,29,16,2025-01-07
iPhone 13 Pro Max,13,10000.0,4.1,282,43,22,2025-01-07
iPhone 14,14,9000.0,3.2,135,48,16,2025-01-07
iPhone 14 Plus,14,9200.0,3.9,403,7,14,2025-01-07
iPhone 14 Pro,14,11000.0,4.3,155,40,31,2025-01-07
iPhone 14 Pro Max,14,12000.0,4.5,378,48,25,2025-01-07
iPhone 15,15,10000.0,3.3,434,41,26,2025-01-07
iPhone 15 Plus,15,10200.0,4.1,449,49,13,2025-01-07
iPhone 15 Pro,15,12500.0,3.7,386,37,18,2025-01-07
iPhone 15 Pro Max,15,14000.0,4.7,455,34,8,2025-01-07
iPhone 16,16,11000.0,3.3,320,13,20,2025-01-07
iPhone 16 Pro,16,14000.0,3.8,45,28,15,2025-01-07
iPhone 16 Pro Max,16,16000.0,3.2,331,24,17,2025-01-07
iPhone 17,17,12000.0,3.3,444,6,23,2025-01-07
iPhone 17 Pro,17,15500.0,4.1,401,30,24,2025-01-07
iPhone 17 Pro Max,17,18000.0,3.4,127,8,16,2025-01-07
iPhone X,X,5000.0,3.9,234,24,17,2025-01-08
iPhone XS,X,5200.0,4.2,329,42,18,2025-01-08
iPhone XS Max,X,5500.0,4.2,148,40,24,2025-01-08
iPhone 11,11,6000.0,3.7,19,9,11,2025-01-08
iPhone 11 Pro,11,7000.0,3.1,181,6,25,2025-01-08
iPhone 11 Pro Max,11,8000.0,3.5,110,13,17,2025-01-08
iPhone 12,12,7000.0,4.5,468,19,7,2025-01-08
iPhone 12 mini,12,6800.0,3.7,314,9,16,2025-01-08
iPhone 12 Pro,12,8500.0,4.7,245,18,17,2025-01-08
iPhone 12 Pro Max,12,9000.0,4.9,329,26,13,2025-01-08
iPhone 13,13,8000.0,3.1,358,12,22,2025-01-08
iPhone 13 mini,13,7800.0,4.6,300,25,23,2025-01-08
iPhone 13 Pro,13,9500.0,3.4,348,18,8,2025-01-08
iPhone 13 Pro Max,13,10000.0,4.8,98,22,21,2025-01-08
iPhone 14,14,9000.0,4.6,304,44,16,2025-01-08
iPhone 14 Plus,14,9200.0,3.6,32,19,8,2025-01-08
iPhone 14 Pro,14,11000.0,4.2,154,37,23,2025-01-08
iPhone 14 Pro Max,14,12000.0,3.1,113,43,8,2025-01-08
iPhone 15,15,10000.0,3.2,143,7,12,2025-01-08
iPhone 15 Plus,15,10200.0,3.3,24,33,25,2025-01-08
iPhone 15 Pro,15,12500.0,4.0,487,43,24,2025-01-08
iPhone 15 Pro Max,15,14000.0,4.6,298,8,25,2025-01-08
iPhone 16,16,11000.0,4.1,19,9,18,2025-01-08
iPhone 16 Pro,16,14000.0,4.6,168,40,24,2025-01-08
iPhone 16 Pro Max,16,16000.0,3.9,445,19,17,2025-01-08
iPhone 17,17,12000.0,3.5,341,49,21,2025-01-08
iPhone 17 Pro,17,15500.0,4.4,104,40,11,2025-01-08
iPhone 17 Pro Max,17,18000.0,3.7,20,14,21,2025-01-08
iPhone X,X,5000.0,3.7,143,12,11,2025-01-09
iPhone XS,X,5200.0,4.2,227,17,16,2025-01-09
iPhone XS Max,X,5500.0,3.3,219,29,24,2025-01-09
iPhone 11,11,6000.0,4.2,365,8,15,2025-01-09
iPhone 11 Pro,11,7000.0,4.6,302,12,26,2025-01-09
iPhone 11 Pro Max,11,8000.0,3.7,402,33,23,2025-01-09
iPhone 12,12,7000.0,3.2,306,26,16,2025-01-09
iPhone 12 mini,12,6800.0,3.4,480,5,17,2025-01-09
iPhone 12 Pro,12,8500.0,4.7,64,44,12,2025-01-09
iPhone 12 Pro Max,12,9000.0,4.5,211,30,27,2025-01-09
iPhone 13,13,8000.0,3.7,72,29,12,2025-01-09
iPhone 13 mini,13,7800.0,4.8,137,47,6,2025-01-09
iPhone 13 Pro,13,9500.0,3.1,260,28,14,2025-01-09
iPhone 13 Pro Max,13,10000.0,3.1,170,33,21,2025-01-09
iPhone 14,14,9000.0,4.2,159,30,18,2025-01-09
iPhone 14 Plus,14,9200.0,3.2,198,44,14,2025-01-09
iPhone 14 Pro,14,11000.0,4.0,266,36,20,2025-01-09
iPhone 14 Pro Max,14,12000.0,3.4,220,36,19,2025-01-09
iPhone 15,15,10000.0,3.9,314,49,25,2025-01-09
iPhone 15 Plus,15,10200.0,4.2,266,18,18,2025-01-09
iPhone 15 Pro,15,12500.0,4.4,203,32,17,2025-01-09
iPhone 15 Pro Max,15,14000.0,4.5,141,5,2,2025-01-09
iPhone 16,16,11000.0,3.7,64,43,15,2025-01-09
iPhone 16 Pro,16,14000.0,4.8,171,37,24,2025-01-09
iPhone 16 Pro Max,16,16000.0,3.1,485,36,24,2025-01-09
iPhone 17,17,12000.0,3.1,256,7,26,2025-01-09
iPhone 17 Pro,17,15500.0,3.5,452,12,20,2025-01-09
iPhone 17 Pro Max,17,18000.0,3.4,106,32,19,2025-01-09
iPhone X,X,5000.0,3.5,427,39,24,2025-01-10
iPhone XS,X,5200.0,4.7,409,8,15,2025-01-10
iPhone XS Max,X,5500.0,4.9,191,25,11,2025-01-10
iPhone 11,11,6000.0,3.2,339,11,15,2025-01-10
iPhone 11 Pro,11,7000.0,4.5,94,23,26,2025-01-10
iPhone 11 Pro Max,11,8000.0,4.8,206,24,24,2025-01-10
iPhone 12,12,7000.0,3.7,395,7,12,2025-01-10
iPhone 12 mini,12,6800.0,4.2,431,34,23,2025-01-10
iPhone 12 Pro,12,8500.0,3.7,62,48,18,2025-01-10
iPhone 12 Pro Max,12,9000.0,4.1,68,27,21,2025-01-10
iPhone 13,13,8000.0,4.6,218,21,21,2025-01-10
iPhone 13 mini,13,7800.0,4.3,368,13,11,2025-01-10
iPhone 13 Pro,13,9500.0,3.3,244,8,25,2025-01-10
iPhone 13 Pro Max,13,10000.0,4.6,137,25,25,2025-01-10
iPhone 14,14,9000.0,4.6,50,42,19,2025-01-10
iPhone 14 Plus,14,9200.0,4.0,85,27,16,2025-01-10
iPhone 14 Pro,14,11000.0,3.2,351,25,15,2025-01-10
iPhone 14 Pro Max,14,12000.0,4.5,107,16,15,2025-01-10
iPhone 15,15,10000.0,4.3,318,11,25,2025-01-10
iPhone 15 Plus,15,10200.0,3.8,199,6,21,2025-01-10
iPhone 15 Pro,15,12500.0,3.3,372,5,20,2025-01-10
iPhone 15 Pro Max,15,14000.0,3.5,158,15,16,2025-01-10
iPhone 16,16,11000.0,3.6,173,43,22,2025-01-10
iPhone 16 Pro,16,14000.0,3.8,161,26,20,2025-01-10
iPhone 16 Pro Max,16,16000.0,4.5,298,40,13,2025-01-10
iPhone 17,17,12000.0,4.7,346,49,20,2025-01-10
iPhone 17 Pro,17,15500.0,3.3,210,30,9,2025-01-10
iPhone 17 Pro Max,17,18000.0,3.7,138,29,18,2025-01-10
iPhone X,X,5000.0,4.4,113,46,16,2025-01-11
iPhone XS,X,5200.0,3.2,117,48,19,2025-01-11
iPhone XS Max,X,5500.0,4.9,111,38,18,2025-01-11
iPhone 11,11,6000.0,4.6,314,21,16,2025-01-11
iPhone 11 Pro,11,7000.0,4.9,320,16,25,2025-01-11
iPhone 11 Pro Max,11,8000.0,4.5,158,21,20,2025-01-11
iPhone 12,12,7000.0,4.3,383,20,17,2025-01-11
iPhone 12 mini,12,6800.0,4.0,152,30,23,2025-01-11
iPhone 12 Pro,12,8500.0,3.1,35,36,22,2025-01-11
iPhone 12 Pro Max,12,9000.0,3.4,478,26,21,2025-01-11
iPhone 13,13,8000.0,4.8,279,19,14,2025-01-11
iPhone 13 mini,13,7800.0,4.8,324,27,25,2025-01-11
iPhone 13 Pro,13,9500.0,4.6,232,34,19,2025-01-11
iPhone 13 Pro Max,13,10000.0,4.0,112,21,16,2025-01-11
iPhone 14,14,9000.0,4.3,161,39,15,2025-01-11
iPhone 14 Plus,14,9200.0,4.8,180,44,33,2025-01-11
iPhone 14 Pro,14,11000.0,3.9,480,48,26,2025-01-11
iPhone 14 Pro Max,14,12000.0,4.1,479,29,21,2025-01-11
iPhone 15,15,10000.0,4.5,170,20,25,2025-01-11
iPhone 15 Plus,15,10200.0,3.8,236,46,19,2025-01-11
iPhone 15 Pro,15,12500.0,5.0,260,17,23,2025-01-11
iPhone 15 Pro Max,15,14000.0,4.6,48,33,20,2025-01-11
iPhone 16,16,11000.0,4.5,486,48,24,2025-01-11
iPhone 16 Pro,16,14000.0,5.0,275,34,21,2025-01-11
iPhone 16 Pro Max,16,16000.0,3.8,368,24,15,2025-01-11
iPhone 17,17,12000.0,3.2,151,34,23,2025-01-11
iPhone 17 Pro,17,15500.0,4.7,155,41,19,2025-01-11
iPhone 17 Pro Max,17,18000.0,3.8,353,8,21,2025-01-11
iPhone X,X,5000.0,3.4,302,41,19,2025-01-12
iPhone XS,X,5200.0,4.8,311,28,15,2025-01-12
iPhone XS Max,X,5500.0,3.9,342,38,25,2025-01-12
iPhone 11,11,6000.0,4.0,339,47,28,2025-01-12
iPhone 11 Pro,11,7000.0,3.4,227,45,22,2025-01-12
iPhone 11 Pro Max,11,8000.0,3.7,270,27,16,2025-01-12
iPhone 12,12,7000.0,4.8,108,24,27,2025-01-12
iPhone 12 mini,12,6800.0,4.4,225,7,17,2025-01-12
iPhone 12 Pro,12,8500.0,4.6,495,17,21,2025-01-12
iPhone 12 Pro Max,12,9000.0,4.2,407,41,12,2025-01-12
iPhone 13,13,8000.0,3.2,114,7,19,2025-01-12
iPhone 13 mini,13,7800.0,3.1,235,16,11,2025-01-12
iPhone 13 Pro,13,9500.0,3.1,472,44,20,2025-01-12
iPhone 13 Pro Max,13,10000.0,3.6,133,19,21,2025-01-12
iPhone 14,14,9000.0,3.0,260,9,20,2025-01-12
iPhone 14 Plus,14,9200.0,4.9,185,17,16,2025-01-12
iPhone 14 Pro,14,11000.0,4.8,470,21,24,2025-01-12
iPhone 14 Pro Max,14,12000.0,4.1,49,38,20,2025-01-12
iPhone 15,15,10000.0,4.1,470,49,20,2025-01-12
iPhone 15 Plus,15,10200.0,4.7,101,37,28,2025-01-12
iPhone 15 Pro,15,12500.0,3.3,313,45,14,2025-01-12
iPhone 15 Pro Max,15,14000.0,4.9,365,31,16,2025-01-12
iPhone 16,16,11000.0,4.5,16,9,18,2025-01-12
iPhone 16 Pro,16,14000.0,4.5,424,22,15,2025-01-12
iPhone 16 Pro Max,16,16000.0,4.6,215,17,18,2025-01-12
iPhone 17,17,12000.0,3.6,55,31,20,2025-01-12
iPhone 17 Pro,17,15500.0,5.0,26,44,23,2025-01-12
iPhone 17 Pro Max,17,18000.0,4.1,172,10,13,2025-01-12
iPhone X,X,5000.0,3.6,464,14,25,2025-01-13
iPhone XS,X,5200.0,3.8,344,34,18,2025-01-13
iPhone XS Max,X,5500.0,4.5,287,8,22,2025-01-13
iPhone 11,11,6000.0,4.9,201,21,16,2025-01-13
iPhone 11 Pro,11,7000.0,4.5,410,14,16,2025-01-13
iPhone 11 Pro Max,11,8000.0,3.1,219,18,19,2025-01-13
iPhone 12,12,7000.0,4.9,294,16,17,2025-01-13
iPhone 12 mini,12,6800.0,4.5,16,33,21,2025-01-13
iPhone 12 Pro,12,8500.0,3.0,143,19,17,2025-01-13
iPhone 12 Pro Max,12,9000.0,3.0,491,38,23,2025-01-13
iPhone 13,13,8000.0,5.0,474,39,13,2025-01-13
iPhone 13 mini,13,7800.0,4.6,166,15,19,2025-01-13
iPhone 13 Pro,13,9500.0,3.4,139,18,17,2025-01-13
iPhone 13 Pro Max,13,10000.0,4.7,391,48,18,2025-01-13
iPhone 14,14,9000.0,3.1,486,25,10,2025-01-13
iPhone 14 Plus,14,9200.0,3.6,431,19,17,2025-01-13
iPhone 14 Pro,14,11000.0,4.5,172,29,22,2025-01-13
iPhone 14 Pro Max,14,12000.0,3.9,36,12,28,2025-01-13
iPhone 15,15,10000.0,3.3,482,21,28,2025-01-13
iPhone 15 Plus,15,10200.0,3.0,358,48,7,2025-01-13
iPhone 15 Pro,15,12500.0,3.1,325,7,19,2025-01-13
iPhone 15 Pro Max,15,14000.0,3.0,464,21,13,2025-01-13
iPhone 16,16,11000.0,4.2,349,40,12,2025-01-13
iPhone 16 Pro,16,14000.0,3.3,223,6,21,2025-01-13
iPhone 16 Pro Max,16,16000.0,4.6,404,17,19,2025-01-13
iPhone 17,17,12000.0,4.4,347,35,14,2025-01-13
iPhone 17 Pro,17,15500.0,4.4,20,49,21,2025-01-13
iPhone 17 Pro Max,17,18000.0,4.5,50,21,22,2025-01-13
iPhone X,X,5000.0,3.2,55,36,19,2025-01-14
iPhone XS,X,5200.0,3.4,170,14,18,2025-01-14
iPhone XS Max,X,5500.0,4.6,251,37,15,2025-01-14
iPhone 11,11,6000.0,3.7,426,17,20,2025-01-14
iPhone 11 Pro,11,7000.0,3.2,415,43,20,2025-01-14
iPhone 11 Pro Max,11,8000.0,4.4,152,38,14,2025-01-14
iPhone 12,12,7000.0,3.1,437,44,26,2025-01-14
iPhone 12 mini,12,6800.0,3.1,271,13,24,2025-01-14
iPhone 12 Pro,12,8500.0,3.1,425,45,23,2025-01-14
iPhone 12 Pro Max,12,9000.0,4.4,327,24,21,2025-01-14
iPhone 13,13,8000.0,3.7,260,11,23,2025-01-14
iPhone 13 mini,13,7800.0,4.2,31,30,29,2025-01-14
iPhone 13 Pro,13,9500.0,4.0,136,45,18,2025-01-14
iPhone 13 Pro Max,13,10000.0,4.4,21,27,13,2025-01-14
iPhone 14,14,9000.0,4.3,34,49,12,2025-01-14
iPhone 14 Plus,14,9200.0,3.9,182,12,25,2025-01-14
iPhone 14 Pro,14,11000.0,4.7,318,36,34,2025-01-14
iPhone 14 Pro Max,14,12000.0,4.4,159,41,19,2025-01-14
iPhone 15,15,10000.0,5.0,370,7,19,2025-01-14
iPhone 15 Plus,15,10200.0,3.4,447,19,16,2025-01-14
iPhone 15 Pro,15,12500.0,3.5,341,34,19,2025-01-14
iPhone 15 Pro Max,15,14000.0,4.7,302,8,22,2025-01-14
iPhone 16,16,11000.0,4.5,391,24,35,2025-01-14
iPhone 16 Pro,16,14000.0,4.0,114,40,21,2025-01-14
iPhone 16 Pro Max,16,16000.0,3.1,363,40,11,2025-01-14
iPhone 17,17,12000.0,4.2,255,16,17,2025-01-14
iPhone 17 Pro,17,15500.0,3.8,27,44,17,2025-01-14
iPhone 17 Pro Max,17,18000.0,4.6,109,34,23,2025-01-14
iPhone X,X,5000.0,3.4,437,18,19,2025-01-15
iPhone XS,X,5200.0,3.5,325,18,25,2025-01-15
iPhone XS Max,X,5500.0,4.0,482,24,14,2025-01-15
iPhone 11,11,6000.0,3.8,37,6,21,2025-01-15
iPhone 11 Pro,11,7000.0,4.7,270,5,17,2025-01-15
iPhone 11 Pro Max,11,8000.0,4.9,312,35,21,2025-01-15
iPhone 12,12,7000.0,3.5,204,18,17,2025-01-15
iPhone 12 mini,12,6800.0,4.3,370,5,10,2025-01-15
iPhone 12 Pro,12,8500.0,3.9,273,47,13,2025-01-15
iPhone 12 Pro Max,12,9000.0,4.2,184,41,12,2025-01-15
iPhone 13,13,8000.0,4.1,314,48,25,2025-01-15
iPhone 13 mini,13,7800.0,4.1,260,24,19,2025-01-15
iPhone 13 Pro,13,9500.0,3.5,139,13,23,2025-01-15
iPhone 13 Pro Max,13,10000.0,3.1,128,39,20,2025-01-15
iPhone 14,14,9000.0,3.9,254,9,20,2025-01-15
iPhone 14 Plus,14,9200.0,4.4,285,28,15,2025-01-15
iPhone 14 Pro,14,11000.0,4.4,135,38,12,2025-01-15
